Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
26 Rioja, La;TOTAL EDADES;Extranjeros;Hombres;2021;20.310
26 Rioja, La;TOTAL EDADES;Extranjeros;Hombres;2020;19.943
26 Rioja, La;TOTAL EDADES;Extranjeros;Hombres;2019;18.417
26 Rioja, La;TOTAL EDADES;Extranjeros;Mujeres;2021;20.581
26 Rioja, La;TOTAL EDADES;Extranjeros;Mujeres;2020;20.267
26 Rioja, La;TOTAL EDADES;Extranjeros;Mujeres;2019;18.813
26 Rioja, La;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;12,79
26 Rioja, La;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;12,57
26 Rioja, La;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;11,75
26 Rioja, La;TOTAL EDADES;% Extranjeros;Hombres;2021;12,87
26 Rioja, La;TOTAL EDADES;% Extranjeros;Hombres;2020;12,64
26 Rioja, La;TOTAL EDADES;% Extranjeros;Hombres;2019;11,79
26 Rioja, La;TOTAL EDADES;% Extranjeros;Mujeres;2021;12,71
26 Rioja, La;TOTAL EDADES;% Extranjeros;Mujeres;2020;12,50
26 Rioja, La;TOTAL EDADES;% Extranjeros;Mujeres;2019;11,71
26 Rioja, La;0-15 años;TOTAL;Ambos sexos;2021;48.444
26 Rioja, La;0-15 años;TOTAL;Ambos sexos;2020;49.126
26 Rioja, La;0-15 años;TOTAL;Ambos sexos;2019;49.148
26 Rioja, La;0-15 años;TOTAL;Hombres;2021;24.956
26 Rioja, La;0-15 años;TOTAL;Hombres;2020;25.269
26 Rioja, La;0-15 años;TOTAL;Hombres;2019;25.274
26 Rioja, La;0-15 años;TOTAL;Mujeres;2021;23.488
26 Rioja, La;0-15 años;TOTAL;Mujeres;2020;23.857
26 Rioja, La;0-15 años;TOTAL;Mujeres;2019;23.874
26 Rioja, La;0-15 años;Españoles;Ambos sexos;2021;40.555
26 Rioja, La;0-15 años;Españoles;Ambos sexos;2020;41.417
26 Rioja, La;0-15 años;Españoles;Ambos sexos;2019;41.960
26 Rioja, La;0-15 años;Españoles;Hombres;2021;20.868
26 Rioja, La;0-15 años;Españoles;Hombres;2020;21.255
26 Rioja, La;0-15 años;Españoles;Hombres;2019;21.517
26 Rioja, La;0-15 años;Españoles;Mujeres;2021;19.687
26 Rioja, La;0-15 años;Españoles;Mujeres;2020;20.162
26 Rioja, La;0-15 años;Españoles;Mujeres;2019;20.443
26 Rioja, La;0-15 años;Extranjeros;Ambos sexos;2021;7.889
26 Rioja, La;0-15 años;Extranjeros;Ambos sexos;2020;7.709
26 Rioja, La;0-15 años;Extranjeros;Ambos sexos;2019;7.188
26 Rioja, La;0-15 años;Extranjeros;Hombres;2021;4.088
26 Rioja, La;0-15 años;Extranjeros;Hombres;2020;4.014
26 Rioja, La;0-15 años;Extranjeros;Hombres;2019;3.757
26 Rioja, La;0-15 años;Extranjeros;Mujeres;2021;3.801
26 Rioja, La;0-15 años;Extranjeros;Mujeres;2020;3.695
26 Rioja, La;0-15 años;Extranjeros;Mujeres;2019;3.431
26 Rioja, La;0-15 años;% Extranjeros;Ambos sexos;2021;16,28
26 Rioja, La;0-15 años;% Extranjeros;Ambos sexos;2020;15,69
26 Rioja, La;0-15 años;% Extranjeros;Ambos sexos;2019;14,63
26 Rioja, La;0-15 años;% Extranjeros;Hombres;2021;16,38
26 Rioja, La;0-15 años;% Extranjeros;Hombres;2020;15,89
26 Rioja, La;0-15 años;% Extranjeros;Hombres;2019;14,87
26 Rioja, La;0-15 años;% Extranjeros;Mujeres;2021;16,18
26 Rioja, La;0-15 años;% Extranjeros;Mujeres;2020;15,49
26 Rioja, La;0-15 años;% Extranjeros;Mujeres;2019;14,37
26 Rioja, La;16-64 años;TOTAL;Ambos sexos;2021;203.516
26 Rioja, La;16-64 años;TOTAL;Ambos sexos;2020;203.467
26 Rioja, La;16-64 años;TOTAL;Ambos sexos;2019;201.401
26 Rioja, La;16-64 años;TOTAL;Hombres;2021;102.692
26 Rioja, La;16-64 años;TOTAL;Hombres;2020;102.640
26 Rioja, La;16-64 años;TOTAL;Hombres;2019;101.518
26 Rioja, La;16-64 años;TOTAL;Mujeres;2021;100.824
26 Rioja, La;16-64 años;TOTAL;Mujeres;2020;100.827
26 Rioja, La;16-64 años;TOTAL;Mujeres;2019;99.883
26 Rioja, La;16-64 años;Españoles;Ambos sexos;2021;171.914
26 Rioja, La;16-64 años;Españoles;Ambos sexos;2020;172.283
26 Rioja, La;16-64 años;Españoles;Ambos sexos;2019;172.462
26 Rioja, La;16-64 años;Españoles;Hombres;2021;87.004
26 Rioja, La;16-64 años;Españoles;Hombres;2020;87.204
26 Rioja, La;16-64 años;Españoles;Hombres;2019;87.288
26 Rioja, La;16-64 años;Españoles;Mujeres;2021;84.910
26 Rioja, La;16-64 años;Españoles;Mujeres;2020;85.079
26 Rioja, La;16-64 años;Españoles;Mujeres;2019;85.174
26 Rioja, La;16-64 años;Extranjeros;Ambos sexos;2021;31.602
26 Rioja, La;16-64 años;Extranjeros;Ambos sexos;2020;31.184
26 Rioja, La;16-64 años;Extranjeros;Ambos sexos;2019;28.939
26 Rioja, La;16-64 años;Extranjeros;Hombres;2021;15.688
26 Rioja, La;16-64 años;Extranjeros;Hombres;2020;15.436
26 Rioja, La;16-64 años;Extranjeros;Hombres;2019;14.230
26 Rioja, La;16-64 años;Extranjeros;Mujeres;2021;15.914
26 Rioja, La;16-64 años;Extranjeros;Mujeres;2020;15.748
26 Rioja, La;16-64 años;Extranjeros;Mujeres;2019;14.709
26 Rioja, La;16-64 años;% Extranjeros;Ambos sexos;2021;15,53
26 Rioja, La;16-64 años;% Extranjeros;Ambos sexos;2020;15,33
26 Rioja, La;16-64 años;% Extranjeros;Ambos sexos;2019;14,37
26 Rioja, La;16-64 años;% Extranjeros;Hombres;2021;15,28
26 Rioja, La;16-64 años;% Extranjeros;Hombres;2020;15,04
26 Rioja, La;16-64 años;% Extranjeros;Hombres;2019;14,02
26 Rioja, La;16-64 años;% Extranjeros;Mujeres;2021;15,78
26 Rioja, La;16-64 años;% Extranjeros;Mujeres;2020;15,62
26 Rioja, La;16-64 años;% Extranjeros;Mujeres;2019;14,73
26 Rioja, La;65 y más;TOTAL;Ambos sexos;2021;67.836
26 Rioja, La;65 y más;TOTAL;Ambos sexos;2020;67.321
26 Rioja, La;65 y más;TOTAL;Ambos sexos;2019;66.249
26 Rioja, La;65 y más;TOTAL;Hombres;2021;30.175
26 Rioja, La;65 y más;TOTAL;Hombres;2020;29.926
26 Rioja, La;65 y más;TOTAL;Hombres;2019;29.387
26 Rioja, La;65 y más;TOTAL;Mujeres;2021;37.661
26 Rioja, La;65 y más;TOTAL;Mujeres;2020;37.395
26 Rioja, La;65 y más;TOTAL;Mujeres;2019;36.862
26 Rioja, La;65 y más;Españoles;Ambos sexos;2021;66.436
26 Rioja, La;65 y más;Españoles;Ambos sexos;2020;66.004
26 Rioja, La;65 y más;Españoles;Ambos sexos;2019;65.146
26 Rioja, La;65 y más;Españoles;Hombres;2021;29.641
26 Rioja, La;65 y más;Españoles;Hombres;2020;29.433
26 Rioja, La;65 y más;Españoles;Hombres;2019;28.957
26 Rioja, La;65 y más;Españoles;Mujeres;2021;36.795
26 Rioja, La;65 y más;Españoles;Mujeres;2020;36.571
26 Rioja, La;65 y más;Españoles;Mujeres;2019;36.189
26 Rioja, La;65 y más;Extranjeros;Ambos sexos;2021;1.400
26 Rioja, La;65 y más;Extranjeros;Ambos sexos;2020;1.317
26 Rioja, La;65 y más;Extranjeros;Ambos sexos;2019;1.103
26 Rioja, La;65 y más;Extranjeros;Hombres;2021;534
26 Rioja, La;65 y más;Extranjeros;Hombres;2020;493
26 Rioja, La;65 y más;Extranjeros;Hombres;2019;430
26 Rioja, La;65 y más;Extranjeros;Mujeres;2021;866
26 Rioja, La;65 y más;Extranjeros;Mujeres;2020;824
26 Rioja, La;65 y más;Extranjeros;Mujeres;2019;673
26 Rioja, La;65 y más;% Extranjeros;Ambos sexos;2021;2,06
26 Rioja, La;65 y más;% Extranjeros;Ambos sexos;2020;1,96
26 Rioja, La;65 y más;% Extranjeros;Ambos sexos;2019;1,66
26 Rioja, La;65 y más;% Extranjeros;Hombres;2021;1,77
26 Rioja, La;65 y más;% Extranjeros;Hombres;2020;1,65
26 Rioja, La;65 y más;% Extranjeros;Hombres;2019;1,46
26 Rioja, La;65 y más;% Extranjeros;Mujeres;2021;2,30
26 Rioja, La;65 y más;% Extranjeros;Mujeres;2020;2,20
26 Rioja, La;65 y más;% Extranjeros;Mujeres;2019;1,83
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2021;327.338
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2020;329.245
37 Salamanca;TOTAL EDADES;TOTAL;Ambos sexos;2019;330.119
37 Salamanca;TOTAL EDADES;TOTAL;Hombres;2021;158.874
37 Salamanca;TOTAL EDADES;TOTAL;Hombres;2020;159.929
37 Salamanca;TOTAL EDADES;TOTAL;Hombres;2019;160.364
37 Salamanca;TOTAL EDADES;TOTAL;Mujeres;2021;168.464
37 Salamanca;TOTAL EDADES;TOTAL;Mujeres;2020;169.316
37 Salamanca;TOTAL EDADES;TOTAL;Mujeres;2019;169.755
37 Salamanca;TOTAL EDADES;Españoles;Ambos sexos;2021;312.069
37 Salamanca;TOTAL EDADES;Españoles;Ambos sexos;2020;314.352
37 Salamanca;TOTAL EDADES;Españoles;Ambos sexos;2019;316.832
37 Salamanca;TOTAL EDADES;Españoles;Hombres;2021;151.776
37 Salamanca;TOTAL EDADES;Españoles;Hombres;2020;152.963
37 Salamanca;TOTAL EDADES;Españoles;Hombres;2019;154.205
37 Salamanca;TOTAL EDADES;Españoles;Mujeres;2021;160.293
37 Salamanca;TOTAL EDADES;Españoles;Mujeres;2020;161.389
37 Salamanca;TOTAL EDADES;Españoles;Mujeres;2019;162.627
37 Salamanca;TOTAL EDADES;Extranjeros;Ambos sexos;2021;15.269
37 Salamanca;TOTAL EDADES;Extranjeros;Ambos sexos;2020;14.893
37 Salamanca;TOTAL EDADES;Extranjeros;Ambos sexos;2019;13.287
37 Salamanca;TOTAL EDADES;Extranjeros;Hombres;2021;7.098
37 Salamanca;TOTAL EDADES;Extranjeros;Hombres;2020;6.966
37 Salamanca;TOTAL EDADES;Extranjeros;Hombres;2019;6.159
37 Salamanca;TOTAL EDADES;Extranjeros;Mujeres;2021;8.171
37 Salamanca;TOTAL EDADES;Extranjeros;Mujeres;2020;7.927
37 Salamanca;TOTAL EDADES;Extranjeros;Mujeres;2019;7.128
37 Salamanca;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;4,66
37 Salamanca;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;4,52
37 Salamanca;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;4,02
37 Salamanca;TOTAL EDADES;% Extranjeros;Hombres;2021;4,47
37 Salamanca;TOTAL EDADES;% Extranjeros;Hombres;2020;4,36
37 Salamanca;TOTAL EDADES;% Extranjeros;Hombres;2019;3,84
37 Salamanca;TOTAL EDADES;% Extranjeros;Mujeres;2021;4,85
37 Salamanca;TOTAL EDADES;% Extranjeros;Mujeres;2020;4,68
37 Salamanca;TOTAL EDADES;% Extranjeros;Mujeres;2019;4,20
37 Salamanca;0-15 años;TOTAL;Ambos sexos;2021;39.261
37 Salamanca;0-15 años;TOTAL;Ambos sexos;2020;40.017
37 Salamanca;0-15 años;TOTAL;Ambos sexos;2019;40.592
37 Salamanca;0-15 años;TOTAL;Hombres;2021;20.156
37 Salamanca;0-15 años;TOTAL;Hombres;2020;20.515
37 Salamanca;0-15 años;TOTAL;Hombres;2019;20.861
37 Salamanca;0-15 años;TOTAL;Mujeres;2021;19.105
37 Salamanca;0-15 años;TOTAL;Mujeres;2020;19.502
37 Salamanca;0-15 años;TOTAL;Mujeres;2019;19.731
37 Salamanca;0-15 años;Españoles;Ambos sexos;2021;37.192
37 Salamanca;0-15 años;Españoles;Ambos sexos;2020;37.977
37 Salamanca;0-15 años;Españoles;Ambos sexos;2019;38.734
37 Salamanca;0-15 años;Españoles;Hombres;2021;19.175
37 Salamanca;0-15 años;Españoles;Hombres;2020;19.531
37 Salamanca;0-15 años;Españoles;Hombres;2019;19.952
37 Salamanca;0-15 años;Españoles;Mujeres;2021;18.017
37 Salamanca;0-15 años;Españoles;Mujeres;2020;18.446
37 Salamanca;0-15 años;Españoles;Mujeres;2019;18.782
37 Salamanca;0-15 años;Extranjeros;Ambos sexos;2021;2.069
37 Salamanca;0-15 años;Extranjeros;Ambos sexos;2020;2.040
37 Salamanca;0-15 años;Extranjeros;Ambos sexos;2019;1.858
37 Salamanca;0-15 años;Extranjeros;Hombres;2021;981
37 Salamanca;0-15 años;Extranjeros;Hombres;2020;984
37 Salamanca;0-15 años;Extranjeros;Hombres;2019;909
37 Salamanca;0-15 años;Extranjeros;Mujeres;2021;1.088
37 Salamanca;0-15 años;Extranjeros;Mujeres;2020;1.056
37 Salamanca;0-15 años;Extranjeros;Mujeres;2019;949
37 Salamanca;0-15 años;% Extranjeros;Ambos sexos;2021;5,27
37 Salamanca;0-15 años;% Extranjeros;Ambos sexos;2020;5,10
37 Salamanca;0-15 años;% Extranjeros;Ambos sexos;2019;4,58
37 Salamanca;0-15 años;% Extranjeros;Hombres;2021;4,87
37 Salamanca;0-15 años;% Extranjeros;Hombres;2020;4,80
37 Salamanca;0-15 años;% Extranjeros;Hombres;2019;4,36
37 Salamanca;0-15 años;% Extranjeros;Mujeres;2021;5,69
37 Salamanca;0-15 años;% Extranjeros;Mujeres;2020;5,41
37 Salamanca;0-15 años;% Extranjeros;Mujeres;2019;4,81
37 Salamanca;16-64 años;TOTAL;Ambos sexos;2021;200.261
37 Salamanca;16-64 años;TOTAL;Ambos sexos;2020;200.931
37 Salamanca;16-64 años;TOTAL;Ambos sexos;2019;201.790
37 Salamanca;16-64 años;TOTAL;Hombres;2021;100.153
37 Salamanca;16-64 años;TOTAL;Hombres;2020;100.629
37 Salamanca;16-64 años;TOTAL;Hombres;2019;101.165
37 Salamanca;16-64 años;TOTAL;Mujeres;2021;100.108
37 Salamanca;16-64 años;TOTAL;Mujeres;2020;100.302
37 Salamanca;16-64 años;TOTAL;Mujeres;2019;100.625
37 Salamanca;16-64 años;Españoles;Ambos sexos;2021;187.785
37 Salamanca;16-64 años;Españoles;Ambos sexos;2020;188.788
37 Salamanca;16-64 años;Españoles;Ambos sexos;2019;190.986
37 Salamanca;16-64 años;Españoles;Hombres;2021;94.346
37 Salamanca;16-64 años;Españoles;Hombres;2020;94.954
37 Salamanca;16-64 años;Españoles;Hombres;2019;96.188
37 Salamanca;16-64 años;Españoles;Mujeres;2021;93.439
37 Salamanca;16-64 años;Españoles;Mujeres;2020;93.834
37 Salamanca;16-64 años;Españoles;Mujeres;2019;94.798
37 Salamanca;16-64 años;Extranjeros;Ambos sexos;2021;12.476
37 Salamanca;16-64 años;Extranjeros;Ambos sexos;2020;12.143
37 Salamanca;16-64 años;Extranjeros;Ambos sexos;2019;10.804
37 Salamanca;16-64 años;Extranjeros;Hombres;2021;5.807
37 Salamanca;16-64 años;Extranjeros;Hombres;2020;5.675
37 Salamanca;16-64 años;Extranjeros;Hombres;2019;4.977
37 Salamanca;16-64 años;Extranjeros;Mujeres;2021;6.669
37 Salamanca;16-64 años;Extranjeros;Mujeres;2020;6.468
37 Salamanca;16-64 años;Extranjeros;Mujeres;2019;5.827
37 Salamanca;16-64 años;% Extranjeros;Ambos sexos;2021;6,23
37 Salamanca;16-64 años;% Extranjeros;Ambos sexos;2020;6,04
37 Salamanca;16-64 años;% Extranjeros;Ambos sexos;2019;5,35
37 Salamanca;16-64 años;% Extranjeros;Hombres;2021;5,80
37 Salamanca;16-64 años;% Extranjeros;Hombres;2020;5,64
37 Salamanca;16-64 años;% Extranjeros;Hombres;2019;4,92
37 Salamanca;16-64 años;% Extranjeros;Mujeres;2021;6,66
37 Salamanca;16-64 años;% Extranjeros;Mujeres;2020;6,45
37 Salamanca;16-64 años;% Extranjeros;Mujeres;2019;5,79
37 Salamanca;65 y más;TOTAL;Ambos sexos;2021;87.816
37 Salamanca;65 y más;TOTAL;Ambos sexos;2020;88.297
37 Salamanca;65 y más;TOTAL;Ambos sexos;2019;87.737
37 Salamanca;65 y más;TOTAL;Hombres;2021;38.565
37 Salamanca;65 y más;TOTAL;Hombres;2020;38.785
37 Salamanca;65 y más;TOTAL;Hombres;2019;38.338
37 Salamanca;65 y más;TOTAL;Mujeres;2021;49.251
37 Salamanca;65 y más;TOTAL;Mujeres;2020;49.512
37 Salamanca;65 y más;TOTAL;Mujeres;2019;49.399
37 Salamanca;65 y más;Españoles;Ambos sexos;2021;87.092
37 Salamanca;65 y más;Españoles;Ambos sexos;2020;87.587
37 Salamanca;65 y más;Españoles;Ambos sexos;2019;87.112
37 Salamanca;65 y más;Españoles;Hombres;2021;38.255
37 Salamanca;65 y más;Españoles;Hombres;2020;38.478
37 Salamanca;65 y más;Españoles;Hombres;2019;38.065
37 Salamanca;65 y más;Españoles;Mujeres;2021;48.837
37 Salamanca;65 y más;Españoles;Mujeres;2020;49.109
37 Salamanca;65 y más;Españoles;Mujeres;2019;49.047
37 Salamanca;65 y más;Extranjeros;Ambos sexos;2021;724
37 Salamanca;65 y más;Extranjeros;Ambos sexos;2020;710
37 Salamanca;65 y más;Extranjeros;Ambos sexos;2019;625
37 Salamanca;65 y más;Extranjeros;Hombres;2021;310
37 Salamanca;65 y más;Extranjeros;Hombres;2020;307
37 Salamanca;65 y más;Extranjeros;Hombres;2019;273
37 Salamanca;65 y más;Extranjeros;Mujeres;2021;414
37 Salamanca;65 y más;Extranjeros;Mujeres;2020;403
37 Salamanca;65 y más;Extranjeros;Mujeres;2019;352
37 Salamanca;65 y más;% Extranjeros;Ambos sexos;2021;0,82
37 Salamanca;65 y más;% Extranjeros;Ambos sexos;2020;0,80
37 Salamanca;65 y más;% Extranjeros;Ambos sexos;2019;0,71
37 Salamanca;65 y más;% Extranjeros;Hombres;2021;0,80
37 Salamanca;65 y más;% Extranjeros;Hombres;2020;0,79
37 Salamanca;65 y más;% Extranjeros;Hombres;2019;0,71
37 Salamanca;65 y más;% Extranjeros;Mujeres;2021;0,84
37 Salamanca;65 y más;% Extranjeros;Mujeres;2020;0,81
37 Salamanca;65 y más;% Extranjeros;Mujeres;2019;0,71
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.044.405
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.044.887
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.032.983
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Hombres;2021;512.899
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Hombres;2020;513.491
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Hombres;2019;508.197
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Mujeres;2021;531.506
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Mujeres;2020;531.396
38 Santa Cruz de Tenerife;TOTAL EDADES;TOTAL;Mujeres;2019;524.786
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Ambos sexos;2021;900.477
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Ambos sexos;2020;899.066
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Ambos sexos;2019;894.509
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Hombres;2021;442.500
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Hombres;2020;442.058
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Hombres;2019;439.971
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Mujeres;2021;457.977
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Mujeres;2020;457.008
38 Santa Cruz de Tenerife;TOTAL EDADES;Españoles;Mujeres;2019;454.538
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Ambos sexos;2021;143.928
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Ambos sexos;2020;145.821
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Ambos sexos;2019;138.474
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Hombres;2021;70.399
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Hombres;2020;71.433
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Hombres;2019;68.226
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Mujeres;2021;73.529
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Mujeres;2020;74.388
38 Santa Cruz de Tenerife;TOTAL EDADES;Extranjeros;Mujeres;2019;70.248
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;13,78
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;13,96
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;13,41
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Hombres;2021;13,73
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Hombres;2020;13,91
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Hombres;2019;13,43
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Mujeres;2021;13,83
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Mujeres;2020;14,00
38 Santa Cruz de Tenerife;TOTAL EDADES;% Extranjeros;Mujeres;2019;13,39
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Ambos sexos;2021;140.700
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Ambos sexos;2020;144.754
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Ambos sexos;2019;146.384
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Hombres;2021;72.203
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Hombres;2020;74.198
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Hombres;2019;75.105
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Mujeres;2021;68.497
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Mujeres;2020;70.556
38 Santa Cruz de Tenerife;0-15 años;TOTAL;Mujeres;2019;71.279
38 Santa Cruz de Tenerife;0-15 años;Españoles;Ambos sexos;2021;124.550
38 Santa Cruz de Tenerife;0-15 años;Españoles;Ambos sexos;2020;127.909
38 Santa Cruz de Tenerife;0-15 años;Españoles;Ambos sexos;2019;130.011
38 Santa Cruz de Tenerife;0-15 años;Españoles;Hombres;2021;63.933
38 Santa Cruz de Tenerife;0-15 años;Españoles;Hombres;2020;65.611
38 Santa Cruz de Tenerife;0-15 años;Españoles;Hombres;2019;66.718
38 Santa Cruz de Tenerife;0-15 años;Españoles;Mujeres;2021;60.617
38 Santa Cruz de Tenerife;0-15 años;Españoles;Mujeres;2020;62.298
38 Santa Cruz de Tenerife;0-15 años;Españoles;Mujeres;2019;63.293
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Ambos sexos;2021;16.150
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Ambos sexos;2020;16.845
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Ambos sexos;2019;16.373
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Hombres;2021;8.270
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Hombres;2020;8.587
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Hombres;2019;8.387
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Mujeres;2021;7.880
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Mujeres;2020;8.258
38 Santa Cruz de Tenerife;0-15 años;Extranjeros;Mujeres;2019;7.986
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Ambos sexos;2021;11,48
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Ambos sexos;2020;11,64
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Ambos sexos;2019;11,18
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Hombres;2021;11,45
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Hombres;2020;11,57
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Hombres;2019;11,17
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Mujeres;2021;11,50
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Mujeres;2020;11,70
38 Santa Cruz de Tenerife;0-15 años;% Extranjeros;Mujeres;2019;11,20
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Ambos sexos;2021;720.542
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Ambos sexos;2020;721.989
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Ambos sexos;2019;713.687
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Hombres;2021;359.652
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Hombres;2020;360.657
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Hombres;2019;356.649
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Mujeres;2021;360.890
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Mujeres;2020;361.332
38 Santa Cruz de Tenerife;16-64 años;TOTAL;Mujeres;2019;357.038
38 Santa Cruz de Tenerife;16-64 años;Españoles;Ambos sexos;2021;612.931
38 Santa Cruz de Tenerife;16-64 años;Españoles;Ambos sexos;2020;612.345
38 Santa Cruz de Tenerife;16-64 años;Españoles;Ambos sexos;2019;609.981
38 Santa Cruz de Tenerife;16-64 años;Españoles;Hombres;2021;307.283
38 Santa Cruz de Tenerife;16-64 años;Españoles;Hombres;2020;307.166
38 Santa Cruz de Tenerife;16-64 años;Españoles;Hombres;2019;305.903
38 Santa Cruz de Tenerife;16-64 años;Españoles;Mujeres;2021;305.648
38 Santa Cruz de Tenerife;16-64 años;Españoles;Mujeres;2020;305.179
38 Santa Cruz de Tenerife;16-64 años;Españoles;Mujeres;2019;304.078
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Ambos sexos;2021;107.611
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Ambos sexos;2020;109.644
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Ambos sexos;2019;103.706
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Hombres;2021;52.369
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Hombres;2020;53.491
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Hombres;2019;50.746
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Mujeres;2021;55.242
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Mujeres;2020;56.153
38 Santa Cruz de Tenerife;16-64 años;Extranjeros;Mujeres;2019;52.960
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Ambos sexos;2021;14,93
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Ambos sexos;2020;15,19
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Ambos sexos;2019;14,53
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Hombres;2021;14,56
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Hombres;2020;14,83
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Hombres;2019;14,23
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Mujeres;2021;15,31
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Mujeres;2020;15,54
38 Santa Cruz de Tenerife;16-64 años;% Extranjeros;Mujeres;2019;14,83
